Star ID,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12
1700,2,2,2,7,12,13,16,24,25,15,30,26
1700,2,2,2,7,12,13,16,24,25,14,31,26
1700,2,2,2,7,12,13,16,24,25,15,29,26
1700,2,2,2,7,12,13,16,24,25,15,29,26
1700,2,2,2,7,12,13,16,24,25,15,29,26
1700,2,2,2,7,12,13,16,24,25,16,29,26
1700,2,2,2,7,12,13,16,24,25,15,30,26
1700,2,2,2,7,12,13,16,24,25,15,30,26
1700,2,2,2,7,12,13,16,23,26,15,29,26
1700,2,2,2,7,12,13,16,24,25,16,29,26
1700,2,2,2,7,12,13,16,24,25,15,30,26
1700,2,2,2,7,12,13,16,24,24,16,29,26
1713,2,1,2,5,8,15,17,18,23,22,27,17
1713,2,1,2,5,7,16,17,18,23,22,27,17
1713,2,1,2,5,8,15,17,18,23,22,27,17
1713,2,1,2,5,8,15,17,18,23,22,26,17
1713,2,1,2,5,8,15,17,18,23,22,27,17
1713,2,1,2,5,8,15,17,18,23,22,27,17
1713,2,1,2,5,8,15,17,18,23,22,27,17
1713,2,1,2,5,8,15,17,18,23,22,26,17
1713,2,1,2,5,7,16,17,18,23,22,27,17
1713,2,1,2,5,8,15,17,18,23,22,26,17
1713,2,1,2,5,7,16,17,18,23,22,27,17
1713,2,1,2,5,8,15,17,18,23,22,27,17
1713,2,1,2,5,7,16,17,18,23,22,27,17
1713,2,1,2,5,7,16,17,18,23,22,27,17
1713,2,1,2,5,8,15,17,18,23,22,27,17
2100,1,2,3,8,11,12,21,21,21,23,24,36
2100,1,2,3,8,11,12,21,21,21,23,24,36
2100,1,2,3,8,11,12,21,21,21,23,24,36
2100,1,2,3,8,11,12,21,21,21,23,24,36
2100,1,2,3,8,11,12,21,21,21,23,24,36
2100,1,2,3,8,11,12,21,21,21,23,23,36
2100,1,2,3,8,11,12,21,21,21,23,24,36
2100,1,2,3,8,11,12,21,21,21,23,24,36
2100,1,2,3,8,11,12,21,21,21,23,24,36
2100,1,2,3,8,11,12,21,21,21,23,24,36
2100,1,2,3,8,11,12,21,21,21,23,24,36
2100,1,2,3,8,11,12,21,21,21,23,24,36
2100,1,2,3,8,11,12,21,21,21,23,24,36
2100,1,2,3,8,11,12,21,21,21,23,24,36
2100,1,2,3,8,11,12,21,21,21,23,24,36
2101,1,2,3,8,11,12,21,21,21,23,24,36
2101,1,2,3,8,11,12,21,21,21,23,24,36
2101,1,2,3,8,11,12,21,21,21,23,24,36
2101,1,2,3,8,11,12,21,21,21,23,24,36
2101,1,2,3,8,11,12,21,21,21,23,23,36
2101,1,2,3,8,11,12,21,21,21,23,24,36
2101,1,2,3,8,11,12,21,21,21,23,24,36
2101,1,2,3,8,11,12,21,21,21,23,24,36
2101,1,2,3,8,11,12,21,21,21,23,24,36
2101,1,2,3,8,11,12,21,21,21,23,24,36
2101,1,2,3,8,11,12,21,21,21,23,24,36
2101,1,2,3,8,11,12,21,21,20,23,24,36
2101,1,2,3,8,11,12,21,21,21,23,24,36
2101,1,2,3,8,11,12,21,21,21,23,24,36
2101,1,2,3,8,11,12,21,21,20,23,24,36
2458,1,2,8,8,9,13,18,17,22,24,33,25
2458,1,2,8,8,9,13,18,16,23,25,32,25
2458,1,2,8,8,9,13,18,17,22,25,32,25
2458,1,2,8,8,9,13,18,16,23,25,32,25
2458,1,2,8,8,9,13,18,16,23,24,32,25
2458,1,2,8,8,9,13,18,16,23,24,33,25
2458,1,2,8,8,9,13,18,16,23,24,33,25
2458,1,2,8,8,9,13,18,17,22,24,32,25
2458,1,2,8,8,9,13,18,17,22,25,31,25
2458,1,2,8,8,9,13,18,17,22,25,30,25
2458,1,2,8,8,9,13,18,17,22,24,33,25
2458,1,2,8,8,9,13,18,16,23,24,32,25
2458,1,2,8,8,9,13,18,16,23,24,32,25
2458,1,2,8,8,9,13,18,17,22,25,31,25
2458,1,2,8,8,9,13,18,17,22,24,33,25
2769,1,4,7,7,17,15,12,14,24,21,33,28
2769,1,4,7,7,17,15,12,14,24,21,32,28
2769,1,4,7,7,17,15,12,14,25,20,33,28
2769,1,4,7,7,17,15,11,14,24,21,33,28
2769,1,4,7,7,17,15,12,14,24,21,33,28
2769,1,4,7,7,17,15,12,14,24,21,33,27
2769,1,4,7,7,17,15,12,14,24,21,33,28
2769,1,4,7,7,17,15,12,14,24,21,33,27
2769,1,4,7,7,17,15,12,14,24,21,33,28
2769,1,4,7,7,17,15,12,14,24,21,32,27
2769,1,4,7,7,17,15,12,14,24,21,32,28
2769,1,4,7,7,17,15,12,14,24,21,33,28
2769,1,4,7,7,17,15,12,14,24,21,32,27
2769,1,4,7,7,17,15,11,14,24,21,32,28
2769,1,4,7,7,17,15,12,14,24,21,32,28
2858,2,4,8,10,13,13,12,17,20,26,27,23
2858,2,4,8,10,13,13,12,17,20,26,27,23
